Field Label,Field Name,Purpose,Entry Guidelines,Example Value,Controlled Vocabulary?,Vocabulary List,Field Type,Multivalued?,Required?,Commentary,Namespace source,Definition URI
Access,b1g_access_s,Links for accessing restricted resources,"Use the Licensed Data tab in the GeoBTAA Template. It has three columns: friendlier_id, institution_code, and access_URL. friendlier_id is the ID of the parent record. institution_code is a dropdown value for a BTAA institution. access_URL is the URL for the institution’s library catalog record for the database.",https://search.lib.umich.edu/databases/record/39117,FALSE,https://docs.google.com/spreadsheets/d/1g7TFqjYQ2KEShhocI0stINnI1cYDoMpoFgD8yWA6tbM/edit?gid=1084902039#gid=1084902039,String,FALSE,FALSE,This field is entered via a secondary spreadsheet and is serialized in output metadata as a JSON object (institution codes → URLs). Codes are used instead of full institution names to reduce field length and avoid spaces. Catalog records provide stable landing pages; users typically authenticate through their institution.,Local,https://gin.btaa.org/metadata/b1g/#access
Accrual Method,b1g_dct_accrualMethod_s,Method used to obtain the metadata,Select one controlled value that reflects how the metadata record was created or obtained.,Manual curation,TRUE,Automated retrieval; Mediated deposit; Manual curation,String,FALSE,FALSE,"For programmatically harvested records, child records inherit this value from their parent source (e.g., a website). Parent records should reflect the method used to create or acquire the source-level metadata.",DCMI,https://gin.btaa.org/metadata/b1g/#accrual-method
Accrual Periodicity,b1g_dct_accrualPeriodicity_s,Frequency at which a website is harvested,Select one controlled value that best represents how often the resource should be reviewed or reharvested.,Quarterly,TRUE,https://www.dublincore.org/specifications/dublin-core/collection-description/frequency/,String,FALSE,FALSE,"Used to prioritize automated review and harvest workflows. When possible, prefer time-based values (e.g., “Annual”) over vague values (e.g., “As Needed”) to support regular validation.",DCMI,https://gin.btaa.org/metadata/b1g/#accrual-periodicity
Admin Notes,b1g_adminNote_sm,"Internal notes about status, issues, or enrichment",Enter plain text as needed to support processing and tracking.,Metadata enriched on 2025-10-01. Do not overwrite.,FALSE,,Array of strings,TRUE,FALSE,"Internal-only field for notes about issues, processing decisions, enrichment work, and other record-management context.",Local,https://gin.btaa.org/metadata/b1g/#admin-note
B1G Image,b1g_image_ss,Thumbnail displayed in search results,Enter a secure (https) URL to an image file. Acceptable file types: JPEG or PNG.,https://media.licdn.com/dms/image/C4E0BAQE10eK4JOVezg/company-logo_200_200/0?e=2159024400&v=beta&t=n-8vqGyWpJW--9v2NxOUwQ3UmPRWLQz36fj-XwEsPYY,FALSE,,String,FALSE,FALSE,Can be populated programmatically by harvesting thumbnail URLs.,Local,https://gin.btaa.org/metadata/b1g/#image
Code,b1g_code_s,Internal grouping or tracking code,Do not enter manually. This value is assigned by GIN staff.,05a-01,TRUE,https://gin.btaa.org/metadata/codeNamingSchema/,String,FALSE,FALSE,"Codes support internal tracking and sharable links for groups of records. They encode the provider, hosting type, and a sequence number. Avoid changing codes so existing links continue to work.",Local,https://gin.btaa.org/metadata/b1g/#code
Coordinate Reference System,b1g_dct_conformsTo_sm,Coordinate reference system of the resource,Enter a resolvable URI (URL) for the coordinate reference system from a known registry.,https://epsg.io/26915,TRUE,https://epsg.io,Array of strings,TRUE,FALSE,"We link to CRS definitions rather than encoding them directly in the record (as some geospatial standards do). Prefer EPSG (epsg.io), but other reputable registries are acceptable when EPSG does not provide the CRS.",DCMI,https://gin.btaa.org/metadata/b1g/#conforms-to
Creator ID,b1g_creatorID_sm,URI identifying the creator (OCLC FAST),Enter a URI for an authority record from OCLC FAST (use the WorldCat FAST URL).,http://id.worldcat.org/fast/549575,TRUE,https://fast.oclc.org/searchfast/,Array of strings,TRUE,FALSE,May support linked-data use cases in the future. Currently useful for identifying which Creator values have FAST authority records and normalizing them to a consistent source.,Local,https://gin.btaa.org/metadata/b1g/#creator-id
Date Accessioned,b1g_dateAccessioned_dt,Date the record was added,"Enter the date the record was harvested or added to the geoportal, in yyyy-mm-dd format.",2025-01-01,FALSE,,Date,FALSE,FALSE,"Indicates when this record was added. It applies to the record itself and does not automatically apply to related records (e.g., child records).",Local,https://gin.btaa.org/metadata/b1g/#date-accessioned
Date Retired,b1g_dateRetired_dt,Date the record was removed or unpublished,"Enter the date the record was removed/unpublished, in yyyy-mm-dd format.",2025-12-15,FALSE,,Date,FALSE,FALSE,"Indicates when a record was unpublished. Records are typically retained (not deleted) for analytics and auditing. In some cases, records may reappear at the source and be republished later.",Local,https://gin.btaa.org/metadata/b1g/#date-retired
Deprioritize,b1g_deprioritized_b,Flag that lowers a record’s ranking in search results,Enter true or false.,true,TRUE,True; False,Boolean,FALSE,FALSE,Use to lower a record’s ranking in search results. Note: there is no corresponding “prioritize” flag.,Local,https://gin.btaa.org/metadata/b1g/#child-record
Endpoint Description,b1g_dcat_endpointDescription_s,Type of API or link used to access the resource ,"Use an existing standardized value when possible. Enter ""downloads page"" for static web pages that provide downloads but no API or other programmatic access point.",DCAT API,TRUE,TBD,String,FALSE,FALSE,"Describes the functionality/behavior of the access or handoff point. For programmatically harvested records, child records inherit this value from their parent source entity (e.g., a website).",DCAT,https://gin.btaa.org/metadata/b1g/#endpoint-description
